instance_name,instance_size,solver_name,run_number,bks_cost,solution_cost,initial_cost,gap_to_bks,execution_time,iterations,seed
C101,100,SA,1,827.3,947.8,1010.4000000000001,14.565453886135623,0.25035905838012695,29011,43
C101,100,ALNS,1,827.3,897.9,1010.4000000000001,8.533784600507678,153.55138754844666,664,43
C101,100,SA,2,827.3,1000.8,1010.4000000000001,20.971836093315606,2.108665704727173,13395,44
C101,100,ALNS,2,827.3,893.6000000000001,1010.4000000000001,8.014021515774228,208.8646945953369,894,44
C101,100,SA,3,827.3,994.0999999999999,1010.4000000000001,20.161972682219265,2.893568515777588,18941,45
C101,100,ALNS,3,827.3,827.3,1010.4000000000001,0.0,134.45676612854004,598,45
C101,100,SA,4,827.3,985.6000000000001,1010.4000000000001,19.134534026350803,3.4018301963806152,22855,46
C101,100,ALNS,4,827.3,852.6,1010.4000000000001,3.0581409404085664,119.50478625297546,510,46
C101,100,SA,5,827.3,965.2,1010.4000000000001,16.66868125226642,4.253696918487549,29011,47
C101,100,ALNS,5,827.3,827.3,1010.4000000000001,0.0,66.53090000152588,307,47
C101,100,SA,6,827.3,995.6000000000001,1010.4000000000001,20.343285386196083,2.547494411468506,16603,48
C101,100,ALNS,6,827.3,905.0000000000001,1010.4000000000001,9.391998065997845,94.54964756965637,415,48
C1_2_1,200,SA,1,2698.6,3337.0000000000005,3454.0,23.656710887126682,8.631321907043457,29011,43
C1_2_1,200,ALNS,1,2698.6,3177.6000000000004,3454.0,17.74994441562293,241.55471992492676,133,43
C1_2_1,200,SA,2,2698.6,3335.5000000000005,3454.0,23.601126510042267,7.987027168273926,26463,44
C1_2_1,200,ALNS,2,2698.6,3146.2,3454.0,16.586378121989178,241.75659108161926,129,44
C1_2_1,200,SA,3,2698.6,3300.2000000000007,3454.0,22.29304083598906,8.68413519859314,29011,45
C1_2_1,200,ALNS,3,2698.6,3013.600000000001,3454.0,11.672719187727004,242.76835751533508,142,45
C1_2_1,200,SA,4,2698.6,3318.600000000001,3454.0,22.974875861557877,8.706453561782837,29011,46
C1_2_1,200,ALNS,4,2698.6,3103.3000000000006,3454.0,14.996664937374963,241.80002117156982,143,46
C1_2_1,200,SA,5,2698.6,3368.6,3454.0,24.827688431038318,8.704513549804688,29011,47
C1_2_1,200,ALNS,5,2698.6,3198.0,3454.0,18.50589194397095,242.01032733917236,134,47
C1_2_1,200,SA,6,2698.6,3378.0,3454.0,25.176017194100652,8.605512619018555,29011,48
C1_2_1,200,ALNS,6,2698.6,3147.6,3454.0,16.638256873934633,241.153546333313,136,48
C1_4_1,400,SA,1,7138.8,9556.9,9623.4,33.87263965932649,13.902642011642456,18856,43
C1_4_1,400,ALNS,1,7138.8,8664.699999999999,9623.4,21.374740852804376,248.3829367160797,20,43
C1_4_1,400,SA,2,7138.8,9621.5,9623.4,34.777553650473465,14.668484210968018,20125,44
C1_4_1,400,ALNS,2,7138.8,8605.800000000001,9623.4,20.54967221381746,256.8689396381378,17,44
C1_4_1,400,SA,3,7138.8,9623.4,9623.4,34.80416876786013,9.32680630683899,10001,45
C1_4_1,400,ALNS,3,7138.8,8621.2,9623.4,20.76539474421472,245.9195761680603,17,45
C1_4_1,400,SA,4,7138.8,9623.3,9623.4,34.8027679722082,10.51907229423523,12505,46
C1_4_1,400,ALNS,4,7138.8,8880.6,9623.4,24.399058665321906,250.069189786911,20,46
C1_4_1,400,SA,5,7138.8,9607.8,9623.4,34.585644646159004,9.321383476257324,10015,47
C1_4_1,400,ALNS,5,7138.8,8343.300000000001,9623.4,16.872583627500433,263.3325717449188,18,47
C1_4_1,400,SA,6,7138.8,9623.4,9623.4,34.80416876786013,9.262990236282349,10001,48
C1_4_1,400,ALNS,6,7138.8,8509.300000000003,9623.4,19.197904409704748,259.5761094093323,20,48
C1_10_1,1000,SA,1,42444.8,56375.200000000004,56375.200000000004,32.82003920386008,39.13274335861206,10000,43
C1_10_1,1000,ALNS,1,42444.8,55194.899999999994,56375.200000000004,30.03925098009648,633.4583897590637,2,43
C1_10_1,1000,SA,2,42444.8,56375.200000000004,56375.200000000004,32.82003920386008,38.339303493499756,10000,44
C1_10_1,1000,ALNS,2,42444.8,55742.60000000001,56375.200000000004,31.329632840772035,275.4396324157715,1,44
C1_10_1,1000,SA,3,42444.8,56375.200000000004,56375.200000000004,32.82003920386008,37.99691605567932,10000,45
C1_10_1,1000,ALNS,3,42444.8,56247.799999999996,56375.200000000004,32.51988465018092,289.8899259567261,2,45
C1_10_1,1000,SA,4,42444.8,56375.200000000004,56375.200000000004,32.82003920386008,37.97573757171631,10000,46
C1_10_1,1000,ALNS,4,42444.8,54850.4,56375.200000000004,29.22760856453558,339.3085558414459,2,46
C1_10_1,1000,SA,5,42444.8,56375.200000000004,56375.200000000004,32.82003920386008,38.46762204170227,10000,47
C1_10_1,1000,ALNS,5,42444.8,53909.100000000006,56375.200000000004,27.009904629071173,426.5252356529236,2,47
C1_10_1,1000,SA,6,42444.8,56372.4,56375.200000000004,32.8134424004825,45.559490442276,15486,48
C1_10_1,1000,ALNS,6,42444.8,53949.00000000001,56375.200000000004,27.103909077201457,304.77769112586975,2,48
